Wall time,Step,Value
1568584623.756816,23,0.6967666745185852
1568585280.393491,24,0.7049555778503418
1568585935.583517,25,0.7109000086784363
1568586588.939618,26,0.7139777541160583
1568587241.994477,27,0.722100019454956
1568587895.347709,28,0.7231444716453552
1568588548.026172,29,0.7274777889251709
1568589201.011659,30,0.7302555441856384
1568589854.160229,31,0.7332777976989746
1568590507.054842,32,0.7357777953147888
1568591159.82605,33,0.7404666543006897
1568591815.87128,34,0.7410222291946411
1568592473.979858,35,0.743744432926178
1568593131.806304,36,0.746055543422699
1568593786.955425,37,0.7479777932167053
1568594442.026291,38,0.7474444508552551
1568595098.334212,39,0.7512000203132629
1568595754.262897,40,0.7500444650650024
1568596408.896486,41,0.7527555823326111
1568597070.396362,42,0.7533444166183472
1568597732.368493,43,0.7549777626991272
1568598391.566213,44,0.7554555535316467
1568599052.401758,45,0.7572222352027893
1568599712.519908,46,0.7568444609642029
1568600371.876855,47,0.7555222511291504
1568601032.244462,48,0.7578555345535278
1568601691.708084,49,0.7599889039993286
