Wall time,Step,Value
1568584623.756654,23,0.4167555570602417
1568585280.393337,24,0.4262999892234802
1568585935.583363,25,0.4309999942779541
1568586588.939465,26,0.4373222291469574
1568587241.99432,27,0.44085556268692017
1568587895.347557,28,0.44634443521499634
1568588548.026016,29,0.44940000772476196
1568589201.011496,30,0.4528999924659729
1568589854.160055,31,0.45695555210113525
1568590507.054687,32,0.46068888902664185
1568591159.825896,33,0.4628888964653015
1568591815.871107,34,0.4658222198486328
1568592473.979693,35,0.46827778220176697
1568593131.806152,36,0.4693111181259155
1568593786.955271,37,0.4737555682659149
1568594442.026137,38,0.47278890013694763
1568595098.334058,39,0.47769999504089355
1568595754.262725,40,0.478977769613266
1568596408.895528,41,0.4799555540084839
1568597070.396208,42,0.4802333414554596
1568597732.368321,43,0.48224443197250366
1568598391.566057,44,0.48303332924842834
1568599052.401607,45,0.48463332653045654
1568599712.519754,46,0.48730000853538513
1568600371.876701,47,0.48693332076072693
1568601032.244308,48,0.4867222309112549
1568601691.707931,49,0.4874666631221771
